,date,Country_Region,Confirmed,active_cases,active_rolling
357,2021-07-26,India,31440951,29689.0,38089.857142857145
354,2021-07-27,India,31484605,43654.0,38324.0
1632,2021-07-28,India,31528114,43509.0,38627.71428571428
1626,2021-07-29,India,31572344,44230.0,39897.42857142857
180,2021-07-30,India,31613993,41649.0,40262.0
183,2021-07-31,India,31655824,41831.0,40560.42857142857
918,2021-08-01,India,31695958,40134.0,40670.857142857145
378,2021-08-02,India,31726507,30549.0,40793.71428571428
381,2021-08-03,India,31769132,42625.0,40646.71428571428
600,2021-08-04,India,31812114,42982.0,40571.42857142857
597,2021-08-05,India,31856757,44643.0,40630.42857142857
1491,2021-08-06,India,31895385,38628.0,40198.857142857145
1494,2021-08-07,India,31934455,39070.0,39804.42857142857
273,2021-08-08,India,31969954,35499.0,39142.28571428572
282,2021-08-09,India,31998158,28204.0,38807.28571428572
1317,2021-08-10,India,32036511,38353.0,38197.0
1314,2021-08-11,India,32077706,41195.0,37941.71428571428
828,2021-08-12,India,32117826,40120.0,37295.57142857143
831,2021-08-13,India,32156493,38667.0,37301.142857142855
174,2021-08-14,India,32192576,36083.0,36874.42857142857
171,2021-08-15,India,32225513,32937.0,36508.42857142857
1122,2021-08-16,India,32250679,25166.0,36074.42857142857
1125,2021-08-17,India,32285857,35178.0,35620.857142857145
699,2021-08-18,India,32322258,36401.0,34936.0
702,2021-08-19,India,32358829,36571.0,34429.0
15,2021-08-20,India,32393286,34457.0,33827.57142857143
12,2021-08-21,India,32424234,30948.0,33094.0
1146,2021-08-22,India,32449306,25072.0,31970.428571428572
1149,2021-08-23,India,32474773,25467.0,32013.428571428572
1335,2021-08-24,India,32512366,37593.0,32358.428571428572
1332,2021-08-25,India,32558530,46164.0,33753.142857142855
648,2021-08-26,India,32603188,44658.0,34908.42857142857
651,2021-08-27,India,32649947,46759.0,36665.857142857145
1086,2021-08-28,India,32695030,45083.0,38685.142857142855
1092,2021-08-29,India,32737939,42909.0,41233.28571428572
453,2021-08-30,India,32768880,30941.0,42015.28571428572
450,2021-08-31,India,32810845,41965.0,42639.857142857145
303,2021-09-01,India,32857937,47092.0,42772.42857142857
840,2021-09-02,India,32903289,45352.0,42871.57142857143
837,2021-09-03,India,32945907,42618.0,42280.0
1440,2021-09-04,India,32988673,42766.0,41949.0
1443,2021-09-05,India,33027621,38948.0,41383.142857142855
546,2021-09-06,India,33058843,31222.0,41423.28571428572
543,2021-09-07,India,33096718,37875.0,40839.0
996,2021-09-08,India,33139981,43263.0,40292.0
987,2021-09-09,India,33174954,34973.0,38809.28571428572
783,2021-09-10,India,33208330,33376.0,37489.0
786,2021-09-11,India,33236921,28591.0,35464.0
1275,2021-09-12,India,33264175,27254.0,33793.42857142857
1272,2021-09-13,India,33289579,25404.0,32962.28571428572
1095,2021-09-14,India,33316755,27176.0,31433.85714285714
1098,2021-09-15,India,33347325,30570.0,29620.571428571428
150,2021-09-16,India,33381728,34403.0,29539.14285714286
147,2021-09-17,India,33417390,35662.0,29865.714285714286
1341,2021-09-18,India,33448163,30773.0,30177.428571428572
1338,2021-09-19,India,33478419,30256.0,30606.285714285714
1188,2021-09-20,India,33504534,26115.0,30707.85714285714
1191,2021-09-21,India,33531498,26964.0,30677.571428571428
54,2021-09-22,India,33563421,31923.0,30870.85714285714
51,2021-09-23,India,33594803,31382.0,30439.285714285714
705,2021-09-24,India,33624419,29616.0,29575.571428571428
708,2021-09-25,India,33652745,28326.0,29226.0
1386,2021-09-26,India,33678786,26041.0,28623.85714285714
1383,2021-09-27,India,33697581,18795.0,27578.14285714286
186,2021-09-28,India,33716451,18870.0,26421.85714285714
177,2021-09-29,India,33739980,23529.0,25222.714285714286
1629,2021-09-30,India,33766707,26727.0,24557.714285714286
57,2021-10-01,India,33791061,24354.0,23806.0
1197,2021-10-02,India,33813903,22842.0,23022.571428571428
1194,2021-10-03,India,33834702,20799.0,22273.714285714286
1389,2021-10-04,India,33853048,18346.0,22209.571428571428
1392,2021-10-05,India,33871881,18833.0,22204.285714285714
714,2021-10-06,India,33894312,22431.0,22047.428571428572
711,2021-10-07,India,33915569,21257.0,21266.0
1134,2021-10-08,India,33935309,19740.0,20606.85714285714
1131,2021-10-09,India,33953475,18166.0,19938.85714285714
507,2021-10-10,India,33971607,18132.0,19557.85714285714
510,2021-10-11,India,33985920,14313.0,18981.714285714286
1623,2021-10-12,India,34001743,15823.0,18551.714285714286
